epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4151,1.98037,3.21501,1.59307,0.43161,0.30832,0.20226,0.10577,1.78353,2.3945,1.34912,0.000410714,0.000410714,0.000410714
2,29.9978,1.57324,1.72476,1.26749,0.63736,0.37598,0.36464,0.20585,1.60386,2.30179,1.40877,0.00081919,0.00081919,0.00081919
3,39.5944,1.49322,1.41003,1.2201,0.49396,0.60962,0.52341,0.30959,1.43468,1.33644,1.22276,0.00121942,0.00121942,0.00121942
4,48.6762,1.4694,1.28495,1.20245,0.55574,0.63547,0.61744,0.37563,1.43611,1.17864,1.22064,0.00121287,0.00121287,0.00121287
5,58.6509,1.41417,1.21101,1.18669,0.61883,0.63822,0.64834,0.39044,1.38265,1.13229,1.20284,0.0012005,0.0012005,0.0012005
6,68.4048,1.4023,1.15705,1.17738,0.64479,0.67037,0.69227,0.42336,1.36703,1.11509,1.18435,0.00118812,0.00118812,0.00118812
7,77.8968,1.393,1.11252,1.17087,0.68582,0.66548,0.69781,0.42856,1.34039,1.04183,1.18277,0.00117575,0.00117575,0.00117575
8,87.1398,1.37847,1.12109,1.17044,0.58965,0.70195,0.69161,0.42667,1.32377,1.05083,1.18004,0.00116337,0.00116337,0.00116337
9,96.99,1.3983,1.08903,1.17678,0.62224,0.66655,0.68097,0.4199,1.33793,1.12098,1.16286,0.001151,0.001151,0.001151
10,106.981,1.37087,1.05815,1.16336,0.6165,0.65805,0.67273,0.41063,1.35337,1.04471,1.19232,0.00113863,0.00113863,0.00113863
11,116.629,1.35357,1.04483,1.15309,0.65149,0.71756,0.71189,0.44372,1.33385,1.01342,1.1789,0.00112625,0.00112625,0.00112625
12,126.608,1.35087,1.02946,1.15906,0.67502,0.7,0.72527,0.45747,1.30905,0.95556,1.17568,0.00111388,0.00111388,0.00111388
13,137.266,1.35479,1.01829,1.15386,0.61306,0.69246,0.66464,0.40496,1.32686,1.06032,1.18688,0.0011015,0.0011015,0.0011015
14,146.966,1.33896,0.99671,1.154,0.63939,0.67733,0.70583,0.43826,1.32672,1.0116,1.18447,0.00108913,0.00108913,0.00108913
15,157.138,1.34452,1.01331,1.1518,0.64637,0.64964,0.69676,0.43307,1.32083,1.00041,1.18003,0.00107675,0.00107675,0.00107675
16,166.569,1.34481,0.98388,1.1469,0.67166,0.71482,0.72577,0.45268,1.32754,0.93286,1.18147,0.00106437,0.00106437,0.00106437
17,176.085,1.34226,0.97858,1.14754,0.66651,0.72304,0.73135,0.4539,1.33338,0.93295,1.18855,0.001052,0.001052,0.001052
18,185.607,1.33517,0.96914,1.1466,0.6475,0.67485,0.69284,0.43328,1.33856,0.97611,1.19568,0.00103962,0.00103962,0.00103962
19,195.05,1.33008,0.96931,1.14135,0.67507,0.69937,0.72328,0.45931,1.30019,0.92735,1.17085,0.00102725,0.00102725,0.00102725
20,204.312,1.33374,0.973,1.1471,0.68244,0.71387,0.73366,0.45601,1.32383,0.93196,1.18731,0.00101488,0.00101488,0.00101488
21,213.997,1.32037,0.94778,1.14157,0.63647,0.69915,0.68965,0.43958,1.31623,1.03794,1.18061,0.0010025,0.0010025,0.0010025
